dataset	num_probes
achimota_rubulavirus_1	112
achimota_rubulavirus_2	110
adeno-associated_dependoparvovirus_a	135
adeno-associated_dependoparvovirus_b	74
aedes_flavivirus	126
african_green_monkey_simian_foamy	169
aguacate	371
aichivirus_a	474
akabane_orthobunyavirus	476
alagoas_vesiculovirus	101
alajuela_orthobunyavirus	123
allpahuayo_mammarenavirus	127
alphapapillomavirus_4	158
alphapapillomavirus_7	473
alphapapillomavirus_9	2391
ambe	119
andes_orthohantavirus	280
anhanga	90
anopheles_a_orthobunyavirus	93
anopheles_b_orthobunyavirus	16
apoi	92
aravan_lyssavirus	111
argentinian_mammarenavirus	207
aroa	315
arrabida	91
arumowot	196
asama_orthohantavirus	60
australian_bat_lyssavirus	238
avian_avulavirus_1	1882
avian_avulavirus_10	112
avian_avulavirus_11	276
avian_avulavirus_12	114
avian_avulavirus_13	142
avian_avulavirus_14	116
avian_avulavirus_15	111
avian_avulavirus_16	120
avian_avulavirus_17	143
avian_avulavirus_18	110
avian_avulavirus_19	162
avian_avulavirus_3	274
avian_avulavirus_4	245
avian_avulavirus_5	144
avian_avulavirus_6	309
avian_avulavirus_7	246
avian_avulavirus_8	274
avian_avulavirus_9	141
avian_gyrovirus_2	48
avian_metapneumovirus	369
bagaza	138
banna	858
banzi	164
barmah_forest	91
bat_hepacivirus	149
bat_mumps_rubulavirus	111
bat_sapovirus_tlc58--hk	82
batama_orthobunyavirus	15
bayou_orthohantavirus	115
bear_canyon_mammarenavirus	147
beilong	213
betapapillomavirus_1	1167
betapapillomavirus_2	1100
betapapillomavirus_3	455
betapapillomavirus_4	329
betapapillomavirus_5	208
betapapillomavirus_6	71
bhanja	379
bimiti_orthobunyavirus	130
black_creek_canal_orthohantavirus	119
bokeloh_bat_lyssavirus	113
bouboui	73
bovine_hepacivirus	357
bovine_respirovirus_3	527
bowe_orthohantavirus	106
brazilian_mammarenavirus	134
brazoran	98
bruges_orthohantavirus	183
bujaru_phlebovirus	223
bundibugyo_ebolavirus	155
bunyamwera_orthobunyavirus	1400
bwamba_orthobunyavirus	201
cacipacore	160
cali_mammarenavirus	390
california_encephalitis_orthobunyavirus	2043
california_reptarenavirus	93
candiru_phlebovirus	1064
canine_morbillivirus	251
cano_delgadito_orthohantavirus	192
cao_bang_orthohantavirus	110
capim_orthobunyavirus	126
caraparu_orthobunyavirus	187
cardiovirus_a	391
cardiovirus_b	926
catu_orthobunyavirus	113
cedar_henipavirus	134
cell_fusing_agent	98
cetacean_morbillivirus	123
chandipura_vesiculovirus	256
chaoyang	190
chapare_mammarenavirus	163
chicken_anemia	54
chikungunya	296
choclo_orthohantavirus	113
circular_ssdna_virus_hv-cv1	31
cocal_vesiculovirus	180
colorado_tick_fever	217
corriparta	147
cosavirus_a	185
cosavirus_b	76
cosavirus_d	77
cosavirus_e	59
cosavirus_f	108
cowpox	2905
crimean-congo_hemorrhagic_fever_orthonairovirus	1363
culex_flavivirus	234
cupixi_mammarenavirus	79
dabieshan_orthohantavirus	58
dengue	1561
dera_ghazi_khan_orthonairovirus	234
dhori_thogotovirus	82
dobrava-belgrade_orthohantavirus	400
donggang	169
dugbe_orthonairovirus	350
duvenhage_lyssavirus	139
eastern_equine_encephalitis	381
edge_hill	93
ekpoma_1_tibrovirus	113
ekpoma_2_tibrovirus	112
el_moro_canyon_orthohantavirus	62
entebbe_bat	120
enterovirus_a	3332
enterovirus_b	7000
enterovirus_c	4949
enterovirus_d	358
enterovirus_e	761
equine_rhinitis_a	198
erbovirus_a	312
