dataset	num_probes
european_bat_1_lyssavirus	130
european_bat_2_lyssavirus	130
everglades	184
eyach	265
feline_morbillivirus	267
flexal_mammarenavirus	97
foot-and-mouth_disease	2459
fugong_orthohantavirus	110
fusong_orthohantavirus	58
gadgets_gully	87
gairo_mammarenavirus	111
gamboa_orthobunyavirus	150
gammapapillomavirus_18	210
gammapapillomavirus_24	380
gammapapillomavirus_27	115
gemycircularvirus_hv-gcv1	31
getah	104
giant_panda_anellovirus	313
giessen_reptarenavirus	84
golden_reptarenavirus	94
goose_paramyxovirus_sf02	115
gorilla_anellovirus	40
great_island	569
guajara_orthobunyavirus	108
guama_orthobunyavirus	148
guanarito_mammarenavirus	262
guaroa_orthobunyavirus	151
gyrovirus_4	41
gyrovirus_gyv3	53
gyrovirus_gyv7-sf	38
gyrovirus_tu243	27
gyrovirus_tu789	34
hanko	74
hantaan_orthohantavirus	778
hantavirus_z10	110
hazara_orthonairovirus	141
heartland	115
hendra_henipavirus	146
hepacivirus_a	98
hepacivirus_b	148
hepacivirus_c	21221
hepacivirus_d	329
hepacivirus_f	88
hepacivirus_i	76
hepacivirus_j	70
hepacivirus_k	71
hepacivirus_l	96
hepacivirus_m	84
hepacivirus_n	365
hepatitis_b	896
hepatitis_delta	1233
hepatovirus_a	537
highlands_j	91
hughes_orthonairovirus	545
human_alphaherpesvirus_1	1782
human_alphaherpesvirus_2	4195
human_alphaherpesvirus_3	1066
human_associated_circovirus_1	23
human_associated_cyclovirus_1	24
human_associated_cyclovirus_10	19
human_associated_cyclovirus_11	23
human_associated_cyclovirus_12	25
human_associated_cyclovirus_2	24
human_associated_cyclovirus_3	24
human_associated_cyclovirus_4	29
human_associated_cyclovirus_5	30
human_associated_cyclovirus_6	24
human_associated_cyclovirus_7	25
human_associated_cyclovirus_8	101
human_associated_cyclovirus_9	26
human_associated_gemykibivirus_1	30
human_associated_gemykibivirus_2	25
human_associated_gemykibivirus_5	28
human_associated_gemyvongvirus_1	49
human_betaherpesvirus_5	5871
human_betaherpesvirus_6a	1205
human_betaherpesvirus_6b	1228
human_betaherpesvirus_7	1116
human_coronavirus_229e	695
human_coronavirus_hku1	361
human_coronavirus_nl63	295
human_endogenous_retrovirus_k	92
human_fecal_virus_jorvi2	42
human_fecal_virus_jorvi3	26
human_fecal_virus_jorvi4	23
human_gammaherpesvirus_4	4285
human_gammaherpesvirus_8	2196
human_immunodeficiency_virus_1	6060
human_immunodeficiency_virus_2	963
human_mastadenovirus_a	677
human_mastadenovirus_b	990
human_mastadenovirus_c	974
human_mastadenovirus_d	991
human_mastadenovirus_e	552
human_mastadenovirus_f	447
human_mastadenovirus_g	483
human_metapneumovirus	352
human_orthopneumovirus	407
human_papillomavirus	615
human_papillomavirus_type_85	64
human_picobirnavirus	46
human_polyomavirus_1	86
human_polyomavirus_2	79
human_polyomavirus_3	60
human_polyomavirus_4	85
human_polyomavirus_5	116
human_respirovirus_1	161
human_respirovirus_3	328
human_rubulavirus_2	162
human_rubulavirus_4	276
human_smacovirus_1	74
ikoma_lyssavirus	110
ilheus	121
imjin_orthohantavirus	240
indiana_vesiculovirus	169
influenza_a_segment1	338
influenza_a_segment2	327
influenza_a_segment3	358
influenza_a_segment4	357
influenza_a_segment5	182
influenza_a_segment6	294
influenza_a_segment7	82
influenza_a_segment8	124
influenza_b_segment1	152
influenza_b_segment2	143
influenza_b_segment3	74
influenza_b_segment4	102
influenza_b_segment5	60
influenza_b_segment6	53
influenza_b_segment7	53
influenza_b_segment8	31
influenza_c_segment1	45
influenza_c_segment2	39
influenza_c_segment3	35
influenza_c_segment4	42
influenza_c_segment5	32
influenza_c_segment6	25
influenza_c_segment7	25
ippy_mammarenavirus	79
irkut_lyssavirus	178
isfahan_vesiculovirus	178
j-virus	136
japanese_encephalitis	495
jeju_orthohantavirus	111
jugra	158
kabuto_mountain	86
kadam	75
kadipiro	357
kaeng_khoi_orthobunyavirus	114
kairi_orthobunyavirus	109
kamiti_river	102
kasokero_orthonairovirus	138
kedougou	104
kenkeme_orthohantavirus	123
keterah_orthonairovirus	310
khabarovsk_orthohantavirus	143
khujand_lyssavirus	189
kokobera	325
koongol_orthobunyavirus	106
kyasanur_forest_disease	159
lagos_bat_lyssavirus	271
laguna_negra_orthohantavirus	89
laibin_orthohantavirus	96
langat	105
lassa_mammarenavirus	2518
latino_mammarenavirus	105
le_dantec_ledantevirus	181
lebombo	149
leopards_hill	147
liao_ning	485
lleida_bat_lyssavirus	190
lloviu_cuevavirus	144
loei_river_mammarenavirus	127
louping_ill	115
lujo_mammarenavirus	113
luna_mammarenavirus	360
lunk_mammarenavirus	166
luxi_orthohantavirus	112
lymphocytic_choriomeningitis_mammarenavirus	1491
lyssavirus_ozernoe	88
macaca_mulatta_polyomavirus_1	76
macaque_simian_foamy	166
machupo_mammarenavirus	292
madrid_orthobunyavirus	386
main_drain_orthobunyavirus	120
mamastrovirus_1	384
mamastrovirus_6	77
mamastrovirus_8	70
mamastrovirus_9	66
mammalian_orthoreovirus	1669
mammalian_rubulavirus_5	142
manzanilla_orthobunyavirus	284
maporal_orthohantavirus	183
mapuera_rubulavirus	138
maraba_vesiculovirus	105
marburg_marburgvirus	531
marituba_orthobunyavirus	327
mayaro	198
meaban	98
measles_morbillivirus	209
menangle_rubulavirus	130
mercadeo	83
middle_east_respiratory_syndrome-related_coronavirus	1078
mobala_mammarenavirus	98
modoc	95
mojiang_henipavirus	136
mokola_lyssavirus	1084
molluscum_contagiosum	1793
monkeypox	1815
montana_myotis_leukoencephalitis	79
montano_orthohantavirus	91
mopeia_lassa_virus_reassortant_29	101
mopeia_mammarenavirus	164
morogoro_mammarenavirus	102
mossman	260
mosso_das_pedras	106
mucambo	103
mumps_rubulavirus	234
mupapillomavirus_1	83
murine_respirovirus	247
murray_valley_encephalitis	226
nairobi_sheep_disease_orthonairovirus	477
nariva	245
ndumu	109
nelson_bay_orthoreovirus	352
new_jersey_vesiculovirus	365
nipah_henipavirus	194
norwalk	3933
norway_rat_hepacivirus_1	83
norway_rat_hepacivirus_2	91
nounane	130
nova_orthohantavirus	544
ntaya	103
nyando_orthobunyavirus	93
ochlerotatus_caspius_flavivirus	167
oliveros_mammarenavirus	108
omsk_hemorrhagic_fever	168
onyong-nyong	114
ordinary_reptarenavirus	114
orf	1555
oriboca_orthobunyavirus	190
oropouche_orthobunyavirus	435
orthohepevirus_a	3910
orthohepevirus_b	248
orthohepevirus_c	348
orthohepevirus_d	101
orungo	142
palm_creek	159
paraguayan_mammarenavirus	175
paraiso_escondido	102
parechovirus_a	1745
parechovirus_b	294
parramatta_river	83
patois_orthobunyavirus	94
pegivirus_a	955
pegivirus_c	818
pegivirus_h	158
phnom_penh_bat	92
phocine_morbillivirus	257
pirital_mammarenavirus	513
piry_vesiculovirus	103
piscihepevirus_a	64
pixuna	83
porcine_respirovirus_1	156
porcine_rubulavirus	120
powassan	246
primate_erythroparvovirus_1	119
primate_t-lymphotropic_virus_1	202
primate_t-lymphotropic_virus_2	180
primate_t-lymphotropic_virus_3	231
prospect_hill_orthohantavirus	107
punta_toro_phlebovirus	500
puumala_orthohantavirus	921
qalyub_orthonairovirus	238
quang_binh	258
quezon_orthohantavirus	110
rabies_lyssavirus	2008
razdan	102
reptilian_ferlavirus	732
respiratory_syncytial	405
reston_ebolavirus	174
rhinovirus_a	3612
rhinovirus_b	1471
rhinovirus_c	1903
rift_valley_fever_phlebovirus	164
rinderpest_morbillivirus	224
rio_bravo	149
rio_negro	106
rockport_orthohantavirus	118
rodent_hepacivirus	434
rodent_torque_teno_virus_2	47
rosavirus_a	82
ross_river	140
rotavirus_a	10479
rotavirus_b	1359
rotavirus_c	2330
rotavirus_f	407
rotavirus_g	416
rotavirus_h	420
rotavirus_i	597
royal_farm	527
rubella	193
ryukyu_mammarenavirus	166
saboya	96
saint_louis_encephalitis	218
sakhalin_orthonairovirus	812
salehabad_phlebovirus	187
salem	126
salivirus_a	152
salmon_aquaparamyxovirus	129
sandfly_fever_naples_phlebovirus	1112
sandfly_fever_sicilian	156
sangassou_orthohantavirus	113
sapporo	2393
sathuperi_orthobunyavirus	277
saumarez_reef	96
seal_anellovirus_2	29
seal_anellovirus_3	48
seal_anellovirus_tffn--usa--2006	35
semliki_forest	148
seoul_orthohantavirus	211
sepik	99
serra_do_navio_mammarenavirus	129
severe_acute_respiratory_syndrome-related_coronavirus	972
sewage_derived_gemygorvirus_1	29
sfts_phlebovirus	174
shamonda_orthobunyavirus	662
shimoni_bat_lyssavirus	114
shuni_orthobunyavirus	256
simbu_orthobunyavirus	125
simian_foamy	510
simian_immunodeficiency	5062
simian_rubulavirus	142
simian_torque_teno_virus_30	45
simian_torque_teno_virus_31	41
simian_torque_teno_virus_32	41
simian_torque_teno_virus_33	40
simian_torque_teno_virus_34	56
sin_nombre_orthohantavirus	291
sindbis	421
small_anellovirus	34
small_ruminant_morbillivirus	323
solwezi_mammarenavirus	103
sosuga_rubulavirus	243
souris_mammarenavirus	100
spanish_goat_encephalitis	101
spondweni	97
sudan_ebolavirus	173
tacaiuma_orthobunyavirus	187
tacaribe_mammarenavirus	130
tai_forest_ebolavirus	173
tailam	145
tamana_bat	99
tamiami_mammarenavirus	109
tanapox	1160
tapara	198
tembusu	236
tete_orthobunyavirus	191
thailand_orthohantavirus	132
thiafora_orthonairovirus	566
tho	177
thogoto_thogotovirus	181
thottapalayam_orthohantavirus	209
tick-borne_encephalitis	530
tioman_rubulavirus	112
tofla	147
tonate	100
toros	98
torque_teno	1283
torque_teno_canis	55
torque_teno_douroucouli	61
torque_teno_felis	49
torque_teno_felis_virus_2	28
torque_teno_indri_virus_1	28
torque_teno_leptonychotes_weddellii_virus-1	552
torque_teno_leptonychotes_weddellii_virus-2	71
torque_teno_midi_virus_1	61
torque_teno_midi_virus_10	33
torque_teno_midi_virus_11	33
torque_teno_midi_virus_12	41
torque_teno_midi_virus_13	48
torque_teno_midi_virus_14	36
torque_teno_midi_virus_15	53
torque_teno_midi_virus_2	43
torque_teno_midi_virus_3	31
torque_teno_midi_virus_4	34
torque_teno_midi_virus_5	51
torque_teno_midi_virus_6	51
torque_teno_midi_virus_7	51
torque_teno_midi_virus_8	38
torque_teno_midi_virus_9	36
torque_teno_mini_virus_1	30
torque_teno_mini_virus_10	36
torque_teno_mini_virus_11	33
torque_teno_mini_virus_12	49
torque_teno_mini_virus_18	35
torque_teno_mini_virus_2	54
torque_teno_mini_virus_3	35
torque_teno_mini_virus_4	45
torque_teno_mini_virus_5	46
torque_teno_mini_virus_6	47
torque_teno_mini_virus_7	54
torque_teno_mini_virus_8	33
torque_teno_mini_virus_9	38
torque_teno_mini_virus_ala22	32
torque_teno_mini_virus_alh8	37
torque_teno_sus_virus_1a	234
torque_teno_sus_virus_1b	255
torque_teno_sus_virus_k2a	150
torque_teno_sus_virus_k2b	76
torque_teno_tamarin	52
torque_teno_tupaia	28
torque_teno_virus_1	72
torque_teno_virus_10	57
torque_teno_virus_11	54
torque_teno_virus_12	47
torque_teno_virus_13	44
torque_teno_virus_14	62
torque_teno_virus_15	41
torque_teno_virus_16	40
torque_teno_virus_19	62
torque_teno_virus_2	44
torque_teno_virus_20	37
torque_teno_virus_21	33
torque_teno_virus_23	35
torque_teno_virus_24	35
torque_teno_virus_25	48
torque_teno_virus_26	41
torque_teno_virus_27	38
torque_teno_virus_28	61
torque_teno_virus_29	55
torque_teno_virus_3	40
torque_teno_virus_4	40
torque_teno_virus_5	34
torque_teno_virus_6	48
torque_teno_virus_7	40
torque_teno_virus_8	41
torque_teno_virus_9	49
torque_teno_zalophus_virus_1	27
ttv-like_mini	261
tuhoko_rubulavirus_1	116
tuhoko_rubulavirus_2	173
tuhoko_rubulavirus_3	137
tula_orthohantavirus	182
tupaia_paramyxovirus	129
uganda_s	104
uriurana	106
urucuri	96
usutu	180
uukuniemi_phlebovirus	667
vaccinia	2183
variola	1641
venezuelan_equine_encephalitis	290
vesicular_exanthema_of_swine	364
wesselsbron	129
west_caucasian_bat_lyssavirus	114
west_nile	972
western_equine_encephalitis	228
whataroa	185
whitewater_arroyo_mammarenavirus	348
wyeomyia_orthobunyavirus	248
yaba_monkey_tumor	1000
yakeshi_orthohantavirus	86
yaounde	77
yellow_fever	465
yogue	139
yokose	82
yug_bogdanovac_vesiculovirus	104
zaire_ebolavirus	462
zerdali	91
zika	850
zygosaccharomyces_bailii_virus_z	35
