  NIT   NF   F                       GTG
  287  742  1.021906283533847E+05   7.97762942E+06
  288  744  1.017701839586230E+05   8.68278671E+06
  289  746  1.014493011616889E+05   9.22974850E+06
  290  748  1.013101033360408E+05   9.52267514E+06
  291  750  1.008530847748098E+05   1.05405998E+07
  292  752  1.005769970296523E+05   1.12580970E+07
  293  754  9.989775179272422E+04   1.29637395E+07
  294  756  9.958664775912241E+04   1.37479498E+07
  295  758  9.957885609468081E+04   1.37347573E+07
  296  760  9.948984888922518E+04   1.39855295E+07
  297  762  9.879845563971088E+04   1.62925447E+07
  298  764  9.858505027524148E+04   1.69661249E+07
  299  766  9.845773393472588E+04   1.74312728E+07
  300  773  9.783508925239918E+04   2.01724657E+07
  301  775  9.769679265856596E+04   2.06877259E+07
  302  777  9.617121440845841E+04   2.87048033E+07
  303  779  9.549467401946288E+04   3.28414408E+07
  304  781  9.535644343886276E+04   3.37999242E+07
  305  783  9.501149208161373E+04   3.63089913E+07
  306  785  9.391879478882483E+04   4.58237568E+07
  307  787  9.215394044897769E+04   6.62857655E+07
  308  789  9.196674260881101E+04   6.88980236E+07
  309  791  9.124042258096325E+04   7.97975934E+07
  310  793  8.899875820224138E+04   1.27400346E+08
  311  795  7.674776102512257E+04   1.53116225E+09
  312  797  6.287563660669090E+04   2.38773976E+10
  313  800  1.931433078269766E+04   2.55234788E+04
  314  815  1.920642743935202E+04   4.92429369E+05
  315  874  1.918561189903639E+04   2.24978631E+06
  316  928  1.914568269363125E+04   1.08076204E+07
  317  938  1.901676615634851E+04   4.84829800E+06
  318  944  1.892725053448011E+04   3.31446684E+05
  319  947  1.892603980986643E+04   1.46443574E+05
  320  961  1.888275650866119E+04   3.88589624E+05
  321  966  1.886016647602122E+04   3.85120493E+04
  322  968  1.885527120243042E+04   3.94919027E+04
  323 1019  1.877340320131508E+04   1.71451249E+05
  324 1039  1.860781924735610E+04   1.09341663E+07
  325 1041  1.857142978238830E+04   3.28640065E+06
  326 1046  1.854860555302346E+04   2.50866871E+06
  327 1081  1.853521541391646E+04   2.50660794E+06
  328 1085  1.851991918548822E+04   4.77523281E+04
  329 1090  1.848185235223638E+04   1.20808518E+05
  330 1095  1.847358866213912E+04   1.18060225E+05
  331 1100  1.843790367784679E+04   1.15989129E+05
  332 1106  1.842157574041362E+04   1.13708846E+05
  333 1110  1.837701798502787E+04   1.10229364E+05
  334 1116  1.830101455712119E+04   1.35662172E+05
  335 1118  1.824102025885379E+04   8.93942206E+05
  336 1122  1.817884577860179E+04   1.85503059E+06
  337 1126  1.817058000843124E+04   1.47107151E+06
  338 1129  1.816839185781316E+04   1.10156880E+06
  339 1132  1.815804310901208E+04   4.31042690E+05
  340 1135  1.809375740278857E+04   4.31085351E+04
  341 1146  1.809053795668520E+04   4.31163538E+04
  342 1197  1.805014142126475E+04   6.72819428E+04
  343 1201  1.804491230517042E+04   7.15251759E+04
  344 1204  1.804454398010797E+04   7.22160702E+04
  345 1212  1.799876351208755E+04   3.22634457E+06
  346 1219  1.794005762666450E+04   1.97788699E+05
  347 1229  1.792089047505237E+04   1.90774852E+05
  348 1280  1.786906527144670E+04   2.47153679E+05
  349 1286  1.785757312569051E+04   2.41694803E+05
  350 1291  1.783096887324810E+04   2.60012047E+05
  351 1296  1.783021625956769E+04   2.60537194E+05
  352 1300  1.781911048999105E+04   2.57994482E+05
  353 1304  1.776972198957207E+04   2.19712129E+05
  354 1308  1.776479022494293E+04   2.15959804E+05
  355 1313  1.774816323480032E+04   2.49652175E+05
  356 1317  1.773582074765808E+04   2.28148849E+05
  357 1368  1.772376554084463E+04   2.18155230E+05
  358 1389  1.770337328840370E+04   2.21884980E+05
  359 1393  1.768253043161907E+04   2.48624934E+05
  360 1397  1.766372360443070E+04   2.06073364E+05
  361 1401  1.761685637958856E+04   1.68808834E+05
  362 1406  1.761134348551032E+04   1.59794208E+05
  363 1410  1.756378329629878E+04   1.43416222E+05
  364 1415  1.752997057616554E+04   1.11453606E+05
  365 1419  1.752377088762752E+04   1.09318273E+05
  366 1423  1.752022594458042E+04   1.07036642E+05
  367 1474  1.751197485698030E+04   4.74567918E+04
  368 1476  1.750805810601192E+04   5.93183042E+04
  369 1480  1.749108602154751E+04   5.14263331E+04
  370 1485  1.748094374407474E+04   5.06831106E+04
  371 1490  1.746931446700327E+04   4.73176268E+04
  372 1493  1.746637389667879E+04   5.36474181E+04
  373 1498  1.746004731867270E+04   5.18866547E+04
  374 1549  1.744568372082141E+04   5.61597751E+04
  375 1554  1.742947257234782E+04   6.19715555E+04
  376 1563  1.740666150231429E+04   6.72793736E+04
  377 1569  1.740639829078738E+04   6.72353950E+04
  378 1574  1.739072259742054E+04   5.97916150E+04
  379 1598  1.732486897853537E+04   1.09504050E+05
  380 1601  1.730837656433595E+04   2.72446411E+06
  381 1605  1.729950673303791E+04   5.63262888E+04
  382 1656  1.726309288075790E+04   4.22979563E+05
  383 1661  1.725289522512105E+04   4.56903020E+05
  384 1672  1.720400038378453E+04   1.84965862E+06
  385 1678  1.714873931959086E+04   1.05037729E+04
  386 1682  1.711475063241496E+04   1.69918433E+04
  387 1691  1.688288340854111E+04   1.81576120E+05
  388 1700  1.676726834994472E+04   1.20157552E+06
  389 1703  1.673521657419352E+04   2.05196331E+05
  390 1708  1.670975833690062E+04   5.43517349E+06
  391 1712  1.669278380002651E+04   6.58809331E+04
  392 1723  1.666127699147351E+04   2.07687940E+05
  393 1733  1.665543758463807E+04   2.04342512E+05
  394 1738  1.654880467657787E+04   5.15386484E+03
  395 1742  1.653153190401761E+04   5.41228113E+03
  396 1746  1.652495675944954E+04   6.61843594E+03
  397 1750  1.649960525755735E+04   1.03713308E+04
  398 1756  1.645685200707096E+04   9.00055237E+03
  399 1762  1.641215992639431E+04   7.70905780E+03
  400 1766  1.637956749653447E+04   6.19634091E+03
  401 1771  1.634409617989576E+04   4.25595205E+03
  402 1777  1.634203645181207E+04   3.90342824E+03
  403 1784  1.633423508691364E+04   2.41913442E+04
  404 1786  1.631233255440008E+04   6.82205162E+04
  405 1793  1.630837151667904E+04   6.97403233E+04
  406 1799  1.630384802481022E+04   6.90109033E+04
  407 1803  1.629931562297216E+04   6.05191365E+04
  408 1809  1.628910784596641E+04   6.18119346E+04
  409 1814  1.628484162784620E+04   6.58888639E+04
  410 1822  1.627203841937248E+04   1.09497438E+05
  411 1835  1.626484938127643E+04   1.52690655E+05
  412 1841  1.623664941535703E+04   1.48393122E+05
  413 1846  1.622588111951323E+04   2.37104794E+05
  414 1850  1.621870612876878E+04   8.04861151E+03
  415 1861  1.621870612876878E+04   8.01816529E+03
  416 1912  1.621242428702544E+04   9.84005994E+03
  417 1916  1.620705274431568E+04   9.69238105E+03
  418 1921  1.619344333611561E+04   1.07130640E+04
  419 1927  1.618765219841754E+04   1.10092403E+04
  420 1933  1.618215036803248E+04   1.12162983E+04
  421 1939  1.617615443770555E+04   1.10793157E+04
  422 1947  1.617270033314896E+04   9.50119641E+03
  423 1951  1.617166151798326E+04   9.28470671E+03
  424 2002  1.616072338124914E+04   1.42177581E+04
  425 2008  1.615695067244910E+04   1.30903543E+04
  426 2014  1.613264175172361E+04   3.02696419E+04
  427 2065  1.612868445685243E+04   3.00201064E+04
  428 2070  1.612676084658152E+04   2.97651397E+04
  429 2075  1.612548936180940E+04   2.95322899E+04
  430 2090  1.612457281023634E+04   2.94138568E+04
  431 2141  1.612384723747675E+04   2.93886227E+04
  432 2192  1.612074815934523E+04   3.55561484E+04
  433 2250  1.611942418705387E+04   5.90423099E+04
  434 2263  1.611939954441580E+04   5.90040996E+04
  435 2269  1.611541065674130E+04   1.88284078E+05
  436 2272  1.611237271964574E+04   1.78477904E+05
  437 2280  1.611012011731528E+04   1.72875153E+05
  438 2284  1.610886192978585E+04   1.59858984E+05
  439 2289  1.610459580130717E+04   1.25984233E+05
  440 2293  1.610435989490746E+04   1.25932197E+05
  441 2302  1.610098216782852E+04   1.59777262E+05
  442 2313  1.609989822721920E+04   1.58566800E+05
  443 2342  1.609964689341989E+04   1.70227546E+05
  444 2393  1.609844667011108E+04   1.77972097E+05
  445 2448  1.609828268616838E+04   1.84661874E+05
  446 2452  1.609611168414977E+04   8.74993706E+04
  447 2457  1.609416832894917E+04   2.71450474E+04
  448 2473  1.609409055889434E+04   2.70550175E+04
  449 2500  1.609177050258162E+04   3.09780833E+04
  449 2500  1.609177050258162E+04   3.09780833E+04
  NIT   NF   F                       GTG
    0    1  1.611511186405836E+04   2.95208505E+04
    1    2  1.611511186405836E+04   1.50626106E+04
    2    5  1.611511186405836E+04   1.47406802E+04
    3   55  1.611511186405836E+04   1.39682253E+04
    4   62  1.611511186405836E+04   1.33386008E+04
    5   67  1.611488188948706E+04   1.33365150E+04
    6   72  1.611423500427974E+04   1.33361905E+04
    7   77  1.608327980804891E+04   4.00922934E+03
    8  109  1.607726373380923E+04   5.82245604E+15
    8  196  1.607726373380923E+04   5.82245604E+15
  NIT   NF   F                       GTG
    0    1  1.607726373386041E+04   5.82245604E+15
    1   51  1.607726373386041E+04   5.82245604E+15
    1   91  1.607726373386041E+04   5.82245604E+15
  NIT   NF   F                       GTG
    0    1  1.607726373386553E+04   5.82245604E+15
    1   51  1.607726373386553E+04   5.82245604E+15
    1   90  1.607726373386553E+04   5.82245604E+15
Number of probes: 249999
Loss: 17286.000000
