  NIT   NF   F                       GTG
    0    1  1.516011073738272E+05   3.25632578E+05
    1    3  1.500598870747446E+05   2.37962325E+05
    2    6  1.489603513392634E+05   1.69983337E+05
    3    8  1.487805007377527E+05   1.71974557E+05
    4   10  1.484866028047721E+05   1.70652648E+05
    5   13  1.478743557695235E+05   1.36884733E+05
    6   15  1.476585631909917E+05   1.30487704E+05
    7   17  1.475677837936841E+05   1.30577663E+05
    8   19  1.463992564789721E+05   1.03750163E+05
    9   21  1.455624331640060E+05   1.00711276E+05
   10   23  1.453583725741440E+05   9.87665950E+04
   11   25  1.450641077738579E+05   9.01823232E+04
   12   27  1.433445102762811E+05   7.89187076E+04
   13   29  1.433106226216551E+05   7.87246645E+04
   14   31  1.427094780559443E+05   7.12588955E+04
   15   33  1.425145050232735E+05   7.16109387E+04
   16   35  1.423001981928297E+05   6.47699177E+04
   17   37  1.420641677637683E+05   6.49673253E+04
   18   40  1.408609100997651E+05   6.03019368E+04
   19   42  1.403717567590784E+05   5.66531514E+04
   20   44  1.399542450741272E+05   5.67377591E+04
   21   46  1.396949560343505E+05   5.52100843E+04
   22   48  1.396388622232616E+05   5.55248512E+04
   23   50  1.396058749707800E+05   5.50043812E+04
   24   52  1.395983755088645E+05   5.41832212E+04
   25   54  1.395378189874108E+05   5.00273358E+04
   26   56  1.394567013278189E+05   5.01646411E+04
   27   59  1.379381129296364E+05   4.67725126E+04
   28   61  1.377551625764554E+05   4.69254579E+04
   29   63  1.375633339066740E+05   4.54187433E+04
   30   65  1.371949488584462E+05   4.62490205E+04
   31   67  1.371146770059702E+05   4.34667531E+04
   32   69  1.370554339259657E+05   4.35046664E+04
   33   71  1.362410684749423E+05   4.31617694E+04
   34   73  1.362192560989072E+05   4.27893352E+04
   35   76  1.360310243900731E+05   4.06662206E+04
   36   78  1.360089616059013E+05   4.00005556E+04
   37   80  1.354433574044919E+05   4.25880797E+04
   38   82  1.353916238912726E+05   4.00765501E+04
   39   84  1.352363344786457E+05   4.28095793E+04
   40   86  1.351302917247812E+05   4.06489939E+04
   41   88  1.350658848994137E+05   4.06157172E+04
   42   90  1.349348719161106E+05   4.08383538E+04
   43   92  1.347479350693947E+05   4.09376240E+04
   44   94  1.346883385279695E+05   4.04650703E+04
   45   97  1.345990663087394E+05   4.15001713E+04
   46  100  1.345910671057077E+05   4.06079970E+04
   47  102  1.342215315061343E+05   4.04794747E+04
   48  104  1.341537279485262E+05   4.02853195E+04
   49  106  1.338030331648189E+05   4.43785707E+04
   50  108  1.337627436809117E+05   4.43830260E+04
   51  110  1.336809546228317E+05   4.38528277E+04
   52  112  1.336506783419866E+05   4.39102422E+04
   53  114  1.336250941832607E+05   4.34798946E+04
   54  116  1.334242861976738E+05   4.39150026E+04
   55  119  1.334242708102419E+05   4.38850028E+04
   56  121  1.334095271144404E+05   4.36432418E+04
   57  123  1.333185188398578E+05   4.38669395E+04
   58  125  1.332437350459809E+05   4.39542556E+04
   59  128  1.330648950989140E+05   4.31325256E+04
   60  131  1.329861544002763E+05   3.57562992E+04
   61  133  1.326861692433458E+05   3.69396361E+04
   62  136  1.325547093424176E+05   3.70911103E+04
   63  139  1.324394024318283E+05   3.64929983E+04
   64  141  1.322756426650773E+05   3.73928392E+04
   65  143  1.321666489781957E+05   3.67740145E+04
   66  145  1.320308963314958E+05   3.69448177E+04
   67  147  1.320233770617698E+05   3.64324923E+04
   68  151  1.319149074769136E+05   3.63326983E+04
   69  153  1.317934504038877E+05   3.67204337E+04
   70  155  1.316847642158477E+05   3.66768727E+04
   71  157  1.314820911961960E+05   3.80623042E+04
   72  159  1.313850126781543E+05   3.70456445E+04
   73  161  1.310513676436970E+05   3.60299242E+04
   74  163  1.309864552031241E+05   3.59668071E+04
   75  165  1.308952390435517E+05   3.63765405E+04
   76  168  1.307328343366222E+05   3.70152186E+04
   77  170  1.302596774641607E+05   4.04436939E+04
   78  172  1.301736929275237E+05   3.90116096E+04
   79  174  1.301384985522459E+05   3.91068606E+04
   80  176  1.301169298911969E+05   3.92135752E+04
   81  178  1.300746154620266E+05   3.90328521E+04
   82  180  1.297907848444382E+05   4.03719849E+04
   83  182  1.296035822915472E+05   4.10076308E+04
   84  184  1.295854055341922E+05   4.08677487E+04
   85  186  1.293937744923468E+05   4.22241125E+04
   86  188  1.293843027367009E+05   4.22149477E+04
   87  239  1.293593152378097E+05   4.02575319E+04
   88  241  1.292175453148635E+05   4.09256060E+04
   89  243  1.289502416106541E+05   4.17519927E+04
   90  245  1.286391402255369E+05   4.30637416E+04
   91  247  1.285580524961169E+05   4.34345251E+04
   92  249  1.285456629618270E+05   4.34277475E+04
   93  251  1.285443602556540E+05   4.34280862E+04
   94  253  1.283918181990363E+05   4.43492575E+04
   95  255  1.283819606411517E+05   4.43938606E+04
   96  257  1.283782445678246E+05   4.39596200E+04
   97  259  1.282068811479908E+05   4.48880588E+04
   98  261  1.281725471143205E+05   4.50108565E+04
   99  263  1.281522643810179E+05   4.50711831E+04
  100  266  1.280008753586134E+05   4.49181752E+04
  101  269  1.275770246673103E+05   4.56217851E+04
  102  271  1.275225020271911E+05   4.64952871E+04
  103  273  1.273537038055133E+05   4.67247937E+04
  104  275  1.273380569114437E+05   4.67960031E+04
  105  277  1.271500019141975E+05   4.62925264E+04
  106  279  1.270712789030289E+05   4.67296316E+04
  107  281  1.270032428458709E+05   4.65956051E+04
  108  283  1.269720342204845E+05   4.64953850E+04
  109  285  1.269401732838006E+05   4.68671719E+04
  110  287  1.268837386716354E+05   4.66883695E+04
  111  289  1.265830570285483E+05   5.04332190E+04
  112  291  1.265528610867325E+05   4.86473095E+04
  113  293  1.264987565216789E+05   4.88578697E+04
  114  295  1.264685342115371E+05   4.88888856E+04
  115  297  1.263648130040506E+05   4.97244374E+04
  116  299  1.263593551372310E+05   4.92798558E+04
  117  304  1.262291463284161E+05   5.03768775E+04
  118  306  1.261228688643067E+05   4.95038023E+04
  119  308  1.260355628616311E+05   4.97790066E+04
  120  310  1.258973985752453E+05   4.95361655E+04
  121  312  1.256730761294287E+05   5.01369067E+04
  122  314  1.256570980559135E+05   5.02540419E+04
  123  318  1.256150314580045E+05   5.04862060E+04
  124  322  1.251384552002111E+05   5.70336352E+04
  125  324  1.251014376295593E+05   5.71394061E+04
  126  326  1.249578984676911E+05   5.80258074E+04
  127  328  1.249105346794340E+05   5.83269938E+04
  128  330  1.248638863233518E+05   5.88223860E+04
  129  332  1.248065882227496E+05   5.95883107E+04
  130  334  1.247153456002690E+05   6.13386478E+04
  131  336  1.245827679408962E+05   6.47158498E+04
  132  339  1.245383035812051E+05   6.27986193E+04
  133  341  1.244921620768650E+05   6.47990899E+04
  134  392  1.243876582136053E+05   6.65996135E+04
  135  394  1.243814832047828E+05   6.66643185E+04
  136  396  1.243669964182221E+05   6.67858780E+04
  137  398  1.241699944703387E+05   7.03824143E+04
  138  400  1.241434269959656E+05   6.94225848E+04
  139  403  1.241294881919984E+05   6.95842670E+04
  140  405  1.241116193185406E+05   6.98335988E+04
  141  407  1.241024206466858E+05   6.98585842E+04
  142  409  1.240702482052787E+05   7.02215056E+04
  143  411  1.240514853415754E+05   7.15447437E+04
  144  414  1.239556422276569E+05   7.19586755E+04
  145  416  1.238295327339782E+05   7.41551040E+04
  146  418  1.237505646785409E+05   7.16590890E+04
  147  420  1.236748476069668E+05   7.28432919E+04
  148  422  1.235091548627149E+05   7.56012900E+04
  149  425  1.235034646798809E+05   7.50973374E+04
  150  427  1.232989917520284E+05   7.78914762E+04
  151  429  1.232860725641376E+05   7.78341006E+04
  152  431  1.231440184605067E+05   7.92108048E+04
  153  433  1.228603710082034E+05   8.07606507E+04
  154  435  1.226968864441872E+05   8.24304465E+04
  155  437  1.226608237824971E+05   8.12919227E+04
  156  440  1.224549855195027E+05   8.61522334E+04
  157  442  1.222946102338236E+05   8.81255003E+04
  158  444  1.221250562433708E+05   9.08942491E+04
  159  446  1.220253729024481E+05   9.16075913E+04
  160  448  1.219475898600190E+05   9.36449534E+04
  161  450  1.219353547869168E+05   9.27708446E+04
  162  452  1.217641936348133E+05   9.84629479E+04
  163  454  1.215022146592033E+05   1.02133049E+05
  164  456  1.214143481055884E+05   1.03053544E+05
  165  458  1.214139980896783E+05   1.02994550E+05
  166  460  1.212886458574221E+05   1.03681853E+05
  167  462  1.212530366683244E+05   1.04429211E+05
  168  464  1.211081937960727E+05   1.07460635E+05
  169  466  1.210125925998536E+05   1.10900550E+05
  170  468  1.209533040012148E+05   1.11446438E+05
  171  470  1.208963807335269E+05   1.12445185E+05
  172  472  1.207567129844481E+05   1.17727188E+05
  173  475  1.207477198768883E+05   1.17405497E+05
  174  477  1.207020997022970E+05   1.18925058E+05
  175  479  1.206375484929912E+05   1.19711629E+05
  176  481  1.205471173752658E+05   1.22753989E+05
  177  483  1.205239753607050E+05   1.23155941E+05
  178  486  1.205196467251859E+05   1.23103202E+05
  179  488  1.201828212426028E+05   1.38577462E+05
  180  490  1.200733054494765E+05   1.36841587E+05
  181  492  1.200595364829391E+05   1.37122239E+05
  182  494  1.200444019443049E+05   1.37494650E+05
  183  512  1.199983688218224E+05   1.39572420E+05
  184  514  1.198915371810538E+05   1.43795743E+05
  185  516  1.198549523301222E+05   1.44928838E+05
  186  519  1.195346827507902E+05   1.59411072E+05
  187  521  1.195233222592444E+05   1.59760162E+05
  188  523  1.195101868113349E+05   1.58630868E+05
  189  525  1.194274291370597E+05   1.62375966E+05
  190  528  1.193406482020955E+05   1.64018758E+05
  191  530  1.192992422801845E+05   1.65508419E+05
  192  532  1.189695164948496E+05   1.80122216E+05
  193  534  1.188474202549403E+05   1.83209827E+05
  194  536  1.187739216489862E+05   1.85021247E+05
  195  539  1.186255962565241E+05   1.91945925E+05
  196  541  1.185738387780370E+05   1.93443233E+05
  197  543  1.185502598868056E+05   1.95247669E+05
  198  546  1.185277211906662E+05   1.96437720E+05
  199  548  1.185236732029373E+05   1.96515345E+05
  200  554  1.185217813518121E+05   1.96427231E+05
  201  556  1.182520293221528E+05   2.13551820E+05
  202  559  1.182027655051715E+05   2.15463574E+05
  203  561  1.181138812815948E+05   2.19592615E+05
  204  563  1.179242907427624E+05   2.31456956E+05
  205  565  1.176810357221316E+05   2.45960430E+05
  206  567  1.176611270641677E+05   2.46506364E+05
  207  569  1.176290730554486E+05   2.47164181E+05
  208  572  1.174472133897007E+05   2.56746169E+05
  209  574  1.173252829419605E+05   2.64881992E+05
  210  576  1.172561947813581E+05   2.69639937E+05
  211  578  1.170964299537990E+05   2.82534796E+05
  212  581  1.170920283730013E+05   2.81932870E+05
  213  584  1.169710602368807E+05   2.88519493E+05
  214  586  1.169333860256630E+05   2.91164457E+05
  215  588  1.168549716845127E+05   2.98207760E+05
  216  590  1.165152131480038E+05   3.25646655E+05
  217  592  1.164257269305522E+05   3.31897622E+05
  218  594  1.163646351301906E+05   3.35836757E+05
  219  596  1.162713272132569E+05   3.43462906E+05
  220  599  1.160723170388332E+05   3.62875201E+05
  221  601  1.159638181369574E+05   3.70652646E+05
  222  603  1.159600320289641E+05   3.70997808E+05
  223  605  1.159529971819261E+05   3.70960572E+05
  224  608  1.156601324158373E+05   4.01474256E+05
  225  610  1.156005828167953E+05   4.05663327E+05
  226  612  1.155835215348835E+05   4.06250109E+05
  227  614  1.155822134208188E+05   4.06338999E+05
  228  616  1.153512554920221E+05   4.30885641E+05
  229  618  1.152352547451661E+05   4.36861700E+05
  230  620  1.152138137786329E+05   4.38998409E+05
  231  622  1.152127273835502E+05   4.36087415E+05
  232  624  1.151615140040832E+05   4.41785262E+05
  233  626  1.150215643350999E+05   4.60957101E+05
  234  629  1.150196551629462E+05   4.60131491E+05
  235  631  1.149739212186251E+05   4.62117877E+05
  236  633  1.149126388178177E+05   4.64156008E+05
  237  635  1.148892533580524E+05   4.66552893E+05
  238  638  1.148849590482106E+05   4.65561596E+05
  239  640  1.147527166636806E+05   4.84090327E+05
  240  642  1.145442713426757E+05   5.04411178E+05
  241  644  1.144000185429697E+05   5.18939528E+05
  242  646  1.142963166973267E+05   5.33304962E+05
  243  648  1.140314867237150E+05   5.64127762E+05
  244  650  1.139893796121304E+05   5.66865989E+05
  245  652  1.139732104393042E+05   5.69055674E+05
  246  654  1.137982697730650E+05   5.93435719E+05
  247  657  1.137982142202643E+05   5.93387381E+05
  248  659  1.131097799791667E+05   7.05683288E+05
  249  662  1.129586826332414E+05   7.29091113E+05
  250  664  1.123928316738114E+05   8.19806868E+05
  251  666  1.123065060939236E+05   8.37361630E+05
  252  668  1.122684038600737E+05   8.42678361E+05
  253  671  1.121985080724027E+05   8.56530794E+05
  254  673  1.121136517362961E+05   8.76053820E+05
  255  675  1.119582599232302E+05   9.08831003E+05
  256  677  1.119539571332648E+05   9.09638775E+05
  257  679  1.117154310421463E+05   9.69288491E+05
  258  681  1.115277774267102E+05   9.99609352E+05
  259  683  1.112080456465206E+05   1.09341911E+06
  260  685  1.104089031428579E+05   1.30648514E+06
  261  687  1.103861954307065E+05   1.30408862E+06
  262  689  1.097003334696417E+05   1.53225321E+06
  263  691  1.096391719008862E+05   1.55170745E+06
  264  694  1.096091741380455E+05   1.54699415E+06
  265  696  1.086089612543097E+05   1.98105260E+06
  266  698  1.085925876503469E+05   1.98807536E+06
  267  701  1.081902754670973E+05   2.15551970E+06
  268  703  1.080361521321896E+05   2.22746805E+06
  269  705  1.079817135619166E+05   2.25323337E+06
  270  707  1.078349866312168E+05   2.31113380E+06
  271  709  1.074844926450279E+05   2.53632425E+06
  272  711  1.074315356067206E+05   2.54507020E+06
  273  713  1.069745936205944E+05   2.82965709E+06
  274  715  1.069125198594474E+05   2.86854425E+06
  275  717  1.060173568076916E+05   3.50692952E+06
  276  719  1.059594950011961E+05   3.55087278E+06
  277  721  1.052905619025393E+05   4.09971344E+06
  278  723  1.052827987579372E+05   4.10656404E+06
  279  725  1.043649685941964E+05   4.99282432E+06
  280  727  1.038693511249684E+05   5.64014614E+06
  281  730  1.038347327155235E+05   5.67867874E+06
  282  732  1.034472012642391E+05   6.02725497E+06
  283  734  1.032416837907941E+05   6.29915178E+06
  284  736  1.029839444732290E+05   6.65915869E+06
  285  738  1.025782501567784E+05   7.35361066E+06
  286  740  1.024160082319623E+05   7.53629882E+06
