dataset	num_probes
achimota_rubulavirus_1	252
achimota_rubulavirus_2	249
adeno-associated_dependoparvovirus_a	294
adeno-associated_dependoparvovirus_b	106
aedes_flavivirus	310
african_green_monkey_simian_foamy	374
aguacate	801
aichivirus_a	873
akabane_orthobunyavirus	860
alagoas_vesiculovirus	177
alajuela_orthobunyavirus	213
allpahuayo_mammarenavirus	224
alphapapillomavirus_4	256
alphapapillomavirus_7	783
alphapapillomavirus_9	3989
ambe	198
andes_orthohantavirus	481
anhanga	203
anopheles_a_orthobunyavirus	190
anopheles_b_orthobunyavirus	16
apoi	159
aravan_lyssavirus	190
argentinian_mammarenavirus	329
aroa	462
arrabida	201
arumowot	343
asama_orthohantavirus	110
australian_bat_lyssavirus	336
avian_avulavirus_1	2525
avian_avulavirus_10	213
avian_avulavirus_11	280
avian_avulavirus_12	205
avian_avulavirus_13	224
avian_avulavirus_14	252
avian_avulavirus_15	240
avian_avulavirus_16	271
avian_avulavirus_17	240
avian_avulavirus_18	194
avian_avulavirus_19	244
avian_avulavirus_3	229
avian_avulavirus_4	523
avian_avulavirus_5	290
avian_avulavirus_6	524
avian_avulavirus_7	204
avian_avulavirus_8	271
avian_avulavirus_9	204
avian_gyrovirus_2	109
avian_metapneumovirus	612
bagaza	332
banna	991
banzi	164
barmah_forest	163
bat_hepacivirus	149
bat_mumps_rubulavirus	209
bat_sapovirus_tlc58--hk	122
batama_orthobunyavirus	15
bayou_orthohantavirus	200
bear_canyon_mammarenavirus	258
beilong	412
betapapillomavirus_1	1426
betapapillomavirus_2	1355
betapapillomavirus_3	483
betapapillomavirus_4	360
betapapillomavirus_5	481
betapapillomavirus_6	124
bhanja	497
bimiti_orthobunyavirus	198
black_creek_canal_orthohantavirus	197
bokeloh_bat_lyssavirus	292
bouboui	169
bovine_hepacivirus	660
bovine_respirovirus_3	979
bowe_orthohantavirus	194
brazilian_mammarenavirus	242
brazoran	218
bruges_orthohantavirus	320
bujaru_phlebovirus	405
bundibugyo_ebolavirus	223
bunyamwera_orthobunyavirus	1957
bwamba_orthobunyavirus	205
cacipacore	168
cali_mammarenavirus	323
california_encephalitis_orthobunyavirus	2384
california_reptarenavirus	167
candiru_phlebovirus	1221
canine_morbillivirus	649
cano_delgadito_orthohantavirus	192
cao_bang_orthohantavirus	190
capim_orthobunyavirus	171
caraparu_orthobunyavirus	323
cardiovirus_a	573
cardiovirus_b	1200
catu_orthobunyavirus	194
cedar_henipavirus	241
cell_fusing_agent	273
cetacean_morbillivirus	276
chandipura_vesiculovirus	493
chaoyang	194
chapare_mammarenavirus	174
chicken_anemia	123
chikungunya	438
choclo_orthohantavirus	194
circular_ssdna_virus_hv-cv1	45
cocal_vesiculovirus	180
colorado_tick_fever	397
corriparta	316
cosavirus_a	424
cosavirus_b	121
cosavirus_d	115
cosavirus_e	105
cosavirus_f	108
cowpox	3131
crimean-congo_hemorrhagic_fever_orthonairovirus	1620
culex_flavivirus	362
cupixi_mammarenavirus	167
dabieshan_orthohantavirus	86
dengue	1861
dera_ghazi_khan_orthonairovirus	412
dhori_thogotovirus	177
dobrava-belgrade_orthohantavirus	1239
donggang	169
dugbe_orthonairovirus	312
duvenhage_lyssavirus	333
eastern_equine_encephalitis	563
edge_hill	163
ekpoma_1_tibrovirus	201
ekpoma_2_tibrovirus	199
el_moro_canyon_orthohantavirus	93
entebbe_bat	271
enterovirus_a	3971
enterovirus_b	8646
enterovirus_c	5792
enterovirus_d	620
enterovirus_e	1656
equine_rhinitis_a	389
erbovirus_a	797
european_bat_1_lyssavirus	234
european_bat_2_lyssavirus	350
