dataset	mismatches	cover_extension	num_probes
measles	0	0	10772
measles	0	10	10154
measles	0	15	10188
measles	0	20	9774
measles	0	25	6366
measles	0	30	6428
measles	0	35	6358
measles	0	40	6232
measles	0	5	10412
measles	1	0	5636
measles	1	10	5160
measles	1	15	5194
measles	1	20	4932
measles	1	25	3362
measles	1	30	3126
measles	1	35	3070
measles	1	40	3000
measles	1	5	5282
measles	2	0	3448
measles	2	10	3106
measles	2	15	3104
measles	2	20	2920
measles	2	25	1896
measles	2	30	1844
measles	2	35	1814
measles	2	40	1702
measles	2	5	3212
measles	3	0	2278
measles	3	10	2162
measles	3	15	2026
measles	3	20	1880
measles	3	25	1146
measles	3	30	1140
measles	3	35	1118
measles	3	40	1126
measles	3	5	2210
measles	4	0	1526
measles	4	10	1438
measles	4	15	1300
measles	4	20	1192
measles	4	25	810
measles	4	30	818
measles	4	35	806
measles	4	40	810
measles	4	5	1470
mumps	0	0	15388
mumps	0	10	14186
mumps	0	15	13478
mumps	0	20	12402
mumps	0	25	9050
mumps	0	30	9346
mumps	0	35	8826
mumps	0	40	8538
mumps	0	5	15346
mumps	1	0	8768
mumps	1	10	7794
mumps	1	15	7462
mumps	1	20	6510
mumps	1	25	5132
mumps	1	30	5012
mumps	1	35	4700
mumps	1	40	4594
mumps	1	5	8496
mumps	2	0	5738
mumps	2	10	4982
mumps	2	15	4548
mumps	2	20	4058
mumps	2	25	3326
mumps	2	30	3238
mumps	2	35	3028
mumps	2	40	2902
mumps	2	5	5490
mumps	3	0	4002
mumps	3	10	3436
mumps	3	15	3200
mumps	3	20	2902
mumps	3	25	2452
mumps	3	30	2380
mumps	3	35	2200
mumps	3	40	2124
mumps	3	5	3742
mumps	4	0	3188
mumps	4	10	2700
mumps	4	15	2514
mumps	4	20	2230
mumps	4	25	2010
mumps	4	30	1898
mumps	4	35	1758
mumps	4	40	1710
mumps	4	5	2934
rubella	0	0	10240
rubella	0	10	11236
rubella	0	15	11188
rubella	0	20	11058
rubella	0	25	6422
rubella	0	30	7274
rubella	0	35	7164
rubella	0	40	7166
rubella	0	5	11398
rubella	1	0	6112
rubella	1	10	6274
rubella	1	15	6178
rubella	1	20	6082
rubella	1	25	3630
rubella	1	30	3852
rubella	1	35	3764
rubella	1	40	3754
rubella	1	5	6430
rubella	2	0	3720
rubella	2	10	3650
rubella	2	15	3610
rubella	2	20	3528
rubella	2	25	2140
rubella	2	30	2190
rubella	2	35	2108
rubella	2	40	2120
rubella	2	5	3790
rubella	3	0	2276
rubella	3	10	2228
rubella	3	15	2216
rubella	3	20	2100
rubella	3	25	1328
rubella	3	30	1346
rubella	3	35	1304
rubella	3	40	1310
rubella	3	5	2320
rubella	4	0	1510
rubella	4	10	1446
rubella	4	15	1418
rubella	4	20	1344
rubella	4	25	880
rubella	4	30	898
rubella	4	35	862
rubella	4	40	858
rubella	4	5	1536
