approach	mismatches	extension	numprobes
sc	0	0	2257
sc	0	0	2414
sc	0	0	2319
sc	0	0	2396
sc	0	0	2187
sc	0	100	308
sc	0	100	292
sc	0	100	303
sc	0	100	311
sc	0	100	319
sc	0	25	941
sc	0	25	927
sc	0	25	960
sc	0	25	940
sc	0	25	960
sc	0	50	511
sc	0	50	548
sc	0	50	555
sc	0	50	546
sc	0	50	623
sc	0	75	400
sc	0	75	446
sc	0	75	378
sc	0	75	365
sc	0	75	388
sc	1	0	1045
sc	1	0	961
sc	1	0	1060
sc	1	0	1042
sc	1	0	1165
sc	1	100	182
sc	1	100	177
sc	1	100	164
sc	1	100	174
sc	1	100	170
sc	1	25	522
sc	1	25	439
sc	1	25	533
sc	1	25	526
sc	1	25	485
sc	1	50	286
sc	1	50	338
sc	1	50	307
sc	1	50	343
sc	1	50	304
sc	1	75	241
sc	1	75	223
sc	1	75	245
sc	1	75	234
sc	1	75	244
sc	2	0	870
sc	2	0	762
sc	2	0	868
sc	2	0	814
sc	2	0	766
sc	2	100	142
sc	2	100	139
sc	2	100	133
sc	2	100	153
sc	2	100	135
sc	2	25	396
sc	2	25	389
sc	2	25	382
sc	2	25	436
sc	2	25	360
sc	2	50	250
sc	2	50	265
sc	2	50	229
sc	2	50	257
sc	2	50	257
sc	2	75	190
sc	2	75	197
sc	2	75	192
sc	2	75	172
sc	2	75	175
sc	3	0	655
sc	3	0	677
sc	3	0	686
sc	3	0	685
sc	3	0	709
sc	3	100	165
sc	3	100	126
sc	3	100	131
sc	3	100	129
sc	3	100	129
sc	3	25	342
sc	3	25	353
sc	3	25	362
sc	3	25	304
sc	3	25	330
sc	3	50	221
sc	3	50	200
sc	3	50	203
sc	3	50	229
sc	3	50	216
sc	3	75	161
sc	3	75	166
sc	3	75	157
sc	3	75	160
sc	3	75	172
sc	4	0	593
sc	4	0	591
sc	4	0	589
sc	4	0	593
sc	4	0	640
sc	4	100	120
sc	4	100	130
sc	4	100	117
sc	4	100	121
sc	4	100	106
sc	4	25	287
sc	4	25	307
sc	4	25	275
sc	4	25	318
sc	4	25	257
sc	4	50	173
sc	4	50	191
sc	4	50	220
sc	4	50	187
sc	4	50	237
sc	4	75	133
sc	4	75	155
sc	4	75	140
sc	4	75	145
sc	4	75	149
sc	5	0	614
sc	5	0	622
sc	5	0	600
sc	5	0	554
sc	5	0	587
sc	5	100	125
sc	5	100	106
sc	5	100	125
sc	5	100	105
sc	5	100	127
sc	5	25	227
sc	5	25	255
sc	5	25	297
sc	5	25	238
sc	5	25	297
sc	5	50	159
sc	5	50	196
sc	5	50	192
sc	5	50	183
sc	5	50	187
sc	5	75	136
sc	5	75	141
sc	5	75	142
sc	5	75	143
sc	5	75	144
sc	6	0	595
sc	6	0	539
sc	6	0	507
sc	6	0	570
sc	6	0	546
sc	6	100	134
sc	6	100	114
sc	6	100	118
sc	6	100	127
sc	6	100	124
sc	6	25	267
sc	6	25	301
sc	6	25	298
sc	6	25	294
sc	6	25	312
sc	6	50	180
sc	6	50	192
sc	6	50	170
sc	6	50	169
sc	6	50	196
sc	6	75	161
sc	6	75	125
sc	6	75	147
sc	6	75	161
sc	6	75	132
sc	7	0	537
sc	7	0	587
sc	7	0	577
sc	7	0	569
sc	7	0	515
sc	7	100	118
sc	7	100	118
sc	7	100	116
sc	7	100	112
sc	7	100	134
sc	7	25	282
sc	7	25	271
sc	7	25	251
sc	7	25	268
sc	7	25	252
sc	7	50	188
sc	7	50	165
sc	7	50	178
sc	7	50	165
sc	7	50	177
sc	7	75	142
sc	7	75	154
sc	7	75	131
sc	7	75	154
sc	7	75	143
sc	8	0	607
sc	8	0	554
sc	8	0	469
sc	8	0	534
sc	8	0	560
sc	8	100	107
sc	8	100	117
sc	8	100	127
sc	8	100	117
sc	8	100	125
sc	8	25	256
sc	8	25	233
sc	8	25	226
sc	8	25	278
sc	8	25	273
sc	8	50	159
sc	8	50	171
sc	8	50	177
sc	8	50	164
sc	8	50	175
sc	8	75	150
sc	8	75	155
sc	8	75	124
sc	8	75	139
sc	8	75	133
sc	9	0	574
sc	9	0	508
sc	9	0	526
sc	9	0	539
sc	9	0	570
sc	9	100	126
sc	9	100	115
sc	9	100	123
sc	9	100	119
sc	9	100	101
sc	9	25	242
sc	9	25	237
sc	9	25	234
sc	9	25	232
sc	9	25	262
sc	9	50	177
sc	9	50	181
sc	9	50	164
sc	9	50	190
sc	9	50	177
sc	9	75	145
sc	9	75	149
sc	9	75	123
sc	9	75	126
sc	9	75	137
