dataset	mismatches	cover_extension	island_of_exact_match
enterovirus_a	6	25	25
enterovirus_b	7	50	25
enterovirus_c	6	50	25
enterovirus_d	3	25	25
enterovirus_e	0	25	25
hpiv_1	2	25	25
hpiv_2	2	25	25
hpiv_3	3	25	25
hpiv_4	2	25	25
hrsv	3	25	25
human_coronavirus_229e	3	25	25
human_coronavirus_hku1	1	25	25
human_coronavirus_nl63	1	25	25
human_mastadenovirus_a	2	25	25
human_mastadenovirus_b	3	25	25
human_mastadenovirus_c	2	25	25
human_mastadenovirus_d	3	50	25
human_mastadenovirus_e	3	25	25
human_mastadenovirus_f	1	25	25
human_mastadenovirus_g	2	25	25
human_metapneumovirus	3	25	25
mers	2	25	25
ncov	1	25	25
rhinovirus_a	5	50	25
rhinovirus_b	3	50	25
rhinovirus_c	3	50	25
sars	4	50	25
