dataset	mismatches	cover_extension	island_of_exact_match
influenza_a_segment1	1	0	25
influenza_a_segment2	2	0	25
influenza_a_segment3	2	0	25
influenza_a_segment4	2	0	25
influenza_a_segment5	1	0	25
influenza_a_segment6	2	0	25
influenza_a_segment7	1	0	25
influenza_a_segment8	1	0	25
influenza_b_segment1	1	0	25
influenza_b_segment2	1	0	25
influenza_b_segment3	1	0	25
influenza_b_segment4	1	0	25
influenza_b_segment5	1	0	25
influenza_b_segment6	1	0	25
influenza_b_segment7	1	0	25
influenza_b_segment8	1	0	25
influenza_c_segment1	0	0	25
influenza_c_segment2	0	0	25
influenza_c_segment3	1	0	25
influenza_c_segment4	0	0	25
influenza_c_segment5	1	0	25
influenza_c_segment6	0	0	25
influenza_c_segment7	1	0	25
