num_genomes,set_cover_probes,naive_probes
10,1002,1922
20,1964,3784
30,2146,4994
40,2152,5358
50,2326,11432
60,2356,13746
70,2386,17506
80,2412,19832
90,2446,22902
100,2462,25156
110,2468,25258
120,2484,26052
130,2496,26838
140,2506,27612
