approach	mismatches	extension	numprobes
sc	0	0	31490
sc	0	0	30805
sc	0	0	30779
sc	0	0	30510
sc	0	0	31303
sc	0	100	7884
sc	0	100	8010
sc	0	100	7847
sc	0	100	7849
sc	0	100	7820
sc	0	25	18082
sc	0	25	17826
sc	0	25	18431
sc	0	25	18097
sc	0	25	18237
sc	0	50	12676
sc	0	50	13441
sc	0	50	12963
sc	0	50	13128
sc	0	50	12871
sc	0	75	9844
sc	0	75	9823
sc	0	75	10377
sc	0	75	9696
sc	0	75	9907
sc	1	0	26887
sc	1	0	26776
sc	1	0	26974
sc	1	0	27970
sc	1	0	28467
sc	1	100	5621
sc	1	100	5309
sc	1	100	5408
sc	1	100	5651
sc	1	100	5976
sc	1	25	15528
sc	1	25	14784
sc	1	25	15161
sc	1	25	14308
sc	1	25	15176
sc	1	50	9739
sc	1	50	10617
sc	1	50	9726
sc	1	50	10178
sc	1	50	9765
sc	1	75	7307
sc	1	75	7561
sc	1	75	7199
sc	1	75	7632
sc	1	75	7421
sc	2	0	21774
sc	2	0	20926
sc	2	0	21508
sc	2	0	21781
sc	2	0	20514
sc	2	100	3893
sc	2	100	3871
sc	2	100	4129
sc	2	100	4392
sc	2	100	3848
sc	2	25	11164
sc	2	25	11349
sc	2	25	11831
sc	2	25	11450
sc	2	25	11087
sc	2	50	7705
sc	2	50	7313
sc	2	50	6871
sc	2	50	7392
sc	2	50	6815
sc	2	75	5155
sc	2	75	5375
sc	2	75	5543
sc	2	75	5397
sc	2	75	5445
sc	3	0	15908
sc	3	0	15815
sc	3	0	17117
sc	3	0	16920
sc	3	0	16231
sc	3	100	2766
sc	3	100	2830
sc	3	100	3370
sc	3	100	2745
sc	3	100	2994
sc	3	25	7766
sc	3	25	8734
sc	3	25	8790
sc	3	25	8455
sc	3	25	8276
sc	3	50	5332
sc	3	50	5277
sc	3	50	5157
sc	3	50	4849
sc	3	50	5452
sc	3	75	3717
sc	3	75	3398
sc	3	75	4240
sc	3	75	3692
sc	3	75	3838
sc	4	0	13023
sc	4	0	12370
sc	4	0	12945
sc	4	0	12363
sc	4	0	12895
sc	4	100	2124
sc	4	100	2377
sc	4	100	2245
sc	4	100	2421
sc	4	100	2104
sc	4	25	6321
sc	4	25	5586
sc	4	25	6829
sc	4	25	6504
sc	4	25	5822
sc	4	50	3550
sc	4	50	4007
sc	4	50	3764
sc	4	50	4140
sc	4	50	3752
sc	4	75	2820
sc	4	75	3003
sc	4	75	3078
sc	4	75	2934
sc	4	75	3155
sc	5	0	10610
sc	5	0	9706
sc	5	0	9673
sc	5	0	10562
sc	5	0	10087
sc	5	100	1814
sc	5	100	2035
sc	5	100	2296
sc	5	100	2014
sc	5	100	2032
sc	5	25	4933
sc	5	25	5394
sc	5	25	5145
sc	5	25	5272
sc	5	25	5632
sc	5	50	3133
sc	5	50	3623
sc	5	50	3071
sc	5	50	3792
sc	5	50	3515
sc	5	75	2448
sc	5	75	2739
sc	5	75	2650
sc	5	75	2406
sc	5	75	2286
sc	6	0	8237
sc	6	0	8243
sc	6	0	9679
sc	6	0	9049
sc	6	0	7775
sc	6	100	1640
sc	6	100	1660
sc	6	100	1872
sc	6	100	1828
sc	6	100	1902
sc	6	25	4616
sc	6	25	4742
sc	6	25	4086
sc	6	25	4171
sc	6	25	4790
sc	6	50	2600
sc	6	50	3113
sc	6	50	3210
sc	6	50	3344
sc	6	50	2849
sc	6	75	2242
sc	6	75	2339
sc	6	75	2338
sc	6	75	1999
sc	6	75	2215
sc	7	0	7945
sc	7	0	6824
sc	7	0	7951
sc	7	0	7858
sc	7	0	7670
sc	7	100	1684
sc	7	100	1486
sc	7	100	1656
sc	7	100	1591
sc	7	100	1579
sc	7	25	3772
sc	7	25	3874
sc	7	25	4225
sc	7	25	4212
sc	7	25	4250
sc	7	50	2800
sc	7	50	2483
sc	7	50	2697
sc	7	50	2955
sc	7	50	2880
sc	7	75	2151
sc	7	75	2126
sc	7	75	2335
sc	7	75	2157
sc	7	75	1952
sc	8	0	6695
sc	8	0	6980
sc	8	0	6437
sc	8	0	6831
sc	8	0	8236
sc	8	100	1317
sc	8	100	1478
sc	8	100	1702
sc	8	100	1685
sc	8	100	1719
sc	8	25	3812
sc	8	25	4400
sc	8	25	4067
sc	8	25	3801
sc	8	25	4561
sc	8	50	2450
sc	8	50	2250
sc	8	50	2640
sc	8	50	3046
sc	8	50	2536
sc	8	75	1818
sc	8	75	2042
sc	8	75	2116
sc	8	75	2019
sc	8	75	2123
sc	9	0	6632
sc	9	0	6682
sc	9	0	7073
sc	9	0	7447
sc	9	0	6964
sc	9	100	1668
sc	9	100	1531
sc	9	100	1391
sc	9	100	1465
sc	9	100	1458
sc	9	25	4276
sc	9	25	3447
sc	9	25	3969
sc	9	25	3617
sc	9	25	4957
sc	9	50	2601
sc	9	50	2494
sc	9	50	2394
sc	9	50	2405
sc	9	50	2598
sc	9	75	1788
sc	9	75	1922
sc	9	75	1787
sc	9	75	1910
sc	9	75	1884
