approach	mismatches	extension	numprobes
sc	0	0	3787
sc	0	0	3646
sc	0	0	3593
sc	0	0	3865
sc	0	0	3580
sc	0	100	692
sc	0	100	604
sc	0	100	593
sc	0	100	559
sc	0	100	602
sc	0	25	1457
sc	0	25	1370
sc	0	25	1557
sc	0	25	1640
sc	0	25	1584
sc	0	50	954
sc	0	50	1021
sc	0	50	1118
sc	0	50	1115
sc	0	50	1044
sc	0	75	722
sc	0	75	726
sc	0	75	851
sc	0	75	913
sc	0	75	818
sc	1	0	1880
sc	1	0	1780
sc	1	0	1561
sc	1	0	1832
sc	1	0	1771
sc	1	100	366
sc	1	100	432
sc	1	100	424
sc	1	100	473
sc	1	100	380
sc	1	25	902
sc	1	25	974
sc	1	25	1056
sc	1	25	1030
sc	1	25	1031
sc	1	50	664
sc	1	50	726
sc	1	50	647
sc	1	50	733
sc	1	50	744
sc	1	75	565
sc	1	75	563
sc	1	75	515
sc	1	75	570
sc	1	75	576
sc	2	0	1237
sc	2	0	1160
sc	2	0	1297
sc	2	0	1333
sc	2	0	1251
sc	2	100	360
sc	2	100	292
sc	2	100	337
sc	2	100	321
sc	2	100	332
sc	2	25	700
sc	2	25	758
sc	2	25	686
sc	2	25	776
sc	2	25	712
sc	2	50	594
sc	2	50	579
sc	2	50	508
sc	2	50	604
sc	2	50	549
sc	2	75	417
sc	2	75	386
sc	2	75	430
sc	2	75	410
sc	2	75	413
sc	3	0	1114
sc	3	0	1161
sc	3	0	923
sc	3	0	1002
sc	3	0	1007
sc	3	100	261
sc	3	100	293
sc	3	100	241
sc	3	100	292
sc	3	100	323
sc	3	25	612
sc	3	25	604
sc	3	25	686
sc	3	25	647
sc	3	25	693
sc	3	50	500
sc	3	50	507
sc	3	50	460
sc	3	50	432
sc	3	50	453
sc	3	75	384
sc	3	75	398
sc	3	75	333
sc	3	75	371
sc	3	75	384
sc	4	0	906
sc	4	0	1007
sc	4	0	864
sc	4	0	962
sc	4	0	1010
sc	4	100	288
sc	4	100	309
sc	4	100	281
sc	4	100	258
sc	4	100	249
sc	4	25	580
sc	4	25	570
sc	4	25	535
sc	4	25	570
sc	4	25	600
sc	4	50	519
sc	4	50	497
sc	4	50	399
sc	4	50	524
sc	4	50	413
sc	4	75	308
sc	4	75	283
sc	4	75	319
sc	4	75	377
sc	4	75	356
sc	5	0	843
sc	5	0	844
sc	5	0	919
sc	5	0	845
sc	5	0	946
sc	5	100	246
sc	5	100	257
sc	5	100	242
sc	5	100	270
sc	5	100	262
sc	5	25	531
sc	5	25	552
sc	5	25	530
sc	5	25	447
sc	5	25	504
sc	5	50	380
sc	5	50	417
sc	5	50	343
sc	5	50	447
sc	5	50	381
sc	5	75	280
sc	5	75	359
sc	5	75	335
sc	5	75	392
sc	5	75	357
sc	6	0	789
sc	6	0	736
sc	6	0	754
sc	6	0	670
sc	6	0	784
sc	6	100	190
sc	6	100	212
sc	6	100	222
sc	6	100	217
sc	6	100	228
sc	6	25	494
sc	6	25	465
sc	6	25	427
sc	6	25	429
sc	6	25	546
sc	6	50	294
sc	6	50	342
sc	6	50	348
sc	6	50	302
sc	6	50	324
sc	6	75	346
sc	6	75	341
sc	6	75	345
sc	6	75	313
sc	6	75	295
sc	7	0	835
sc	7	0	814
sc	7	0	832
sc	7	0	833
sc	7	0	758
sc	7	100	187
sc	7	100	214
sc	7	100	241
sc	7	100	223
sc	7	100	215
sc	7	25	509
sc	7	25	445
sc	7	25	518
sc	7	25	456
sc	7	25	482
sc	7	50	368
sc	7	50	437
sc	7	50	376
sc	7	50	320
sc	7	50	321
sc	7	75	305
sc	7	75	305
sc	7	75	282
sc	7	75	282
sc	7	75	326
sc	8	0	726
sc	8	0	697
sc	8	0	803
sc	8	0	681
sc	8	0	765
sc	8	100	232
sc	8	100	219
sc	8	100	212
sc	8	100	226
sc	8	100	235
sc	8	25	445
sc	8	25	462
sc	8	25	506
sc	8	25	410
sc	8	25	444
sc	8	50	410
sc	8	50	304
sc	8	50	375
sc	8	50	415
sc	8	50	404
sc	8	75	272
sc	8	75	292
sc	8	75	275
sc	8	75	297
sc	8	75	276
sc	9	0	719
sc	9	0	764
sc	9	0	700
sc	9	0	686
sc	9	0	779
sc	9	100	167
sc	9	100	155
sc	9	100	189
sc	9	100	218
sc	9	100	189
sc	9	25	410
sc	9	25	384
sc	9	25	448
sc	9	25	449
sc	9	25	538
sc	9	50	356
sc	9	50	370
sc	9	50	437
sc	9	50	317
sc	9	50	356
sc	9	75	292
sc	9	75	241
sc	9	75	251
sc	9	75	265
sc	9	75	308
