hrsv	11250
hpiv_1	12730
hpiv_2	1979160
hpiv_3	11216
hpiv_4	11224
rhinovirus_a	147711
rhinovirus_b	147712
rhinovirus_c	463676
human_mastadenovirus_a	129875
human_mastadenovirus_b	108098
human_mastadenovirus_c	129951
human_mastadenovirus_d	130310
human_mastadenovirus_e	130308
human_mastadenovirus_f	130309
human_mastadenovirus_g	310540
human_coronavirus_229e	11137
human_coronavirus_nl63	277944
human_coronavirus_hku1	290028
influenza_a_segment1	11320-1
influenza_a_segment2	11320-2
influenza_a_segment3	11320-3
influenza_a_segment4	11320-4
influenza_a_segment5	11320-5
influenza_a_segment6	11320-6
influenza_a_segment7	11320-7
influenza_a_segment8	11320-8
influenza_b_segment1	11520-1
influenza_b_segment2	11520-2
influenza_b_segment3	11520-3
influenza_b_segment4	11520-4
influenza_b_segment5	11520-5
influenza_b_segment6	11520-6
influenza_b_segment7	11520-7
influenza_b_segment8	11520-8
influenza_c_segment1	11552-1
influenza_c_segment2	11552-2
influenza_c_segment3	11552-3
influenza_c_segment4	11552-4
influenza_c_segment5	11552-5
influenza_c_segment6	11552-6
influenza_c_segment7	11552-7
mers	1335626
sars	694009
enterovirus_a	138948
enterovirus_b	138949
enterovirus_c	138950
enterovirus_d	138951
enterovirus_e	12064
human_metapneumovirus	162145
betacoronavirus_1	694003
