dataset	mismatches	cover_extension	island_of_exact_match
influenza_a_segment1	4	25	25
influenza_a_segment2	4	25	25
influenza_a_segment3	4	25	25
influenza_a_segment4	4	50	25
influenza_a_segment5	4	25	25
influenza_a_segment6	4	25	25
influenza_a_segment7	3	25	25
influenza_a_segment8	4	25	25
influenza_b_segment1	3	25	25
influenza_b_segment2	3	25	25
influenza_b_segment3	3	25	25
influenza_b_segment4	3	25	25
influenza_b_segment5	3	25	25
influenza_b_segment6	3	25	25
influenza_b_segment7	3	25	25
influenza_b_segment8	2	25	25
influenza_c_segment1	2	0	25
influenza_c_segment2	2	25	25
influenza_c_segment3	2	25	25
influenza_c_segment4	2	25	25
influenza_c_segment5	2	25	25
influenza_c_segment6	2	25	25
influenza_c_segment7	2	25	25
