dataset	num_probes
achimota_rubulavirus_1	252
achimota_rubulavirus_2	249
adeno-associated_dependoparvovirus_a	407
adeno-associated_dependoparvovirus_b	134
aedes_flavivirus	487
african_green_monkey_simian_foamy	374
aguacate	801
aichivirus_a	2455
akabane_orthobunyavirus	2224
alagoas_vesiculovirus	177
alajuela_orthobunyavirus	213
allpahuayo_mammarenavirus	224
alphapapillomavirus_4	505
alphapapillomavirus_7	1541
alphapapillomavirus_9	13626
ambe	198
andes_orthohantavirus	898
anhanga	203
anopheles_a_orthobunyavirus	190
anopheles_b_orthobunyavirus	16
apoi	159
aravan_lyssavirus	190
argentinian_mammarenavirus	1022
aroa	687
arrabida	201
arumowot	419
asama_orthohantavirus	110
australian_bat_lyssavirus	476
avian_avulavirus_1	6315
avian_avulavirus_10	249
avian_avulavirus_11	280
avian_avulavirus_12	256
avian_avulavirus_13	480
avian_avulavirus_14	252
avian_avulavirus_15	240
avian_avulavirus_16	364
avian_avulavirus_17	240
avian_avulavirus_18	241
avian_avulavirus_19	244
avian_avulavirus_3	274
avian_avulavirus_4	1371
avian_avulavirus_5	371
avian_avulavirus_6	1156
avian_avulavirus_7	253
avian_avulavirus_8	473
avian_avulavirus_9	248
avian_gyrovirus_2	109
avian_metapneumovirus	1145
bagaza	905
banna	2016
banzi	164
barmah_forest	191
bat_hepacivirus	149
bat_mumps_rubulavirus	256
bat_sapovirus_tlc58--hk	122
batama_orthobunyavirus	15
bayou_orthohantavirus	200
bear_canyon_mammarenavirus	345
beilong	669
betapapillomavirus_1	2455
betapapillomavirus_2	2565
betapapillomavirus_3	483
betapapillomavirus_4	360
betapapillomavirus_5	469
betapapillomavirus_6	124
bhanja	738
bimiti_orthobunyavirus	198
black_creek_canal_orthohantavirus	197
bokeloh_bat_lyssavirus	475
bouboui	169
bovine_hepacivirus	1022
bovine_respirovirus_3	2147
bowe_orthohantavirus	186
brazilian_mammarenavirus	290
brazoran	218
bruges_orthohantavirus	389
bujaru_phlebovirus	486
bundibugyo_ebolavirus	402
bunyamwera_orthobunyavirus	3659
bwamba_orthobunyavirus	205
cacipacore	160
cali_mammarenavirus	408
california_encephalitis_orthobunyavirus	5016
california_reptarenavirus	167
candiru_phlebovirus	2582
canine_morbillivirus	1745
cano_delgadito_orthohantavirus	192
cao_bang_orthohantavirus	190
capim_orthobunyavirus	213
caraparu_orthobunyavirus	409
cardiovirus_a	891
cardiovirus_b	4414
catu_orthobunyavirus	194
cedar_henipavirus	289
cell_fusing_agent	273
cetacean_morbillivirus	276
chandipura_vesiculovirus	762
chaoyang	275
chapare_mammarenavirus	163
chicken_anemia	332
chikungunya	1442
choclo_orthohantavirus	194
circular_ssdna_virus_hv-cv1	45
cocal_vesiculovirus	180
colorado_tick_fever	474
corriparta	316
cosavirus_a	540
cosavirus_b	121
cosavirus_d	115
cosavirus_e	105
cosavirus_f	108
cowpox	6629
crimean-congo_hemorrhagic_fever_orthonairovirus	5093
culex_flavivirus	1024
cupixi_mammarenavirus	167
dabieshan_orthohantavirus	86
dengue	5731
dera_ghazi_khan_orthonairovirus	510
dhori_thogotovirus	177
dobrava-belgrade_orthohantavirus	1500
donggang	169
dugbe_orthonairovirus	374
duvenhage_lyssavirus	441
eastern_equine_encephalitis	1175
edge_hill	163
ekpoma_1_tibrovirus	201
ekpoma_2_tibrovirus	199
el_moro_canyon_orthohantavirus	93
entebbe_bat	344
enterovirus_a	7862
enterovirus_b	16086
enterovirus_c	10254
enterovirus_d	1736
enterovirus_e	1656
equine_rhinitis_a	687
erbovirus_a	797
european_bat_1_lyssavirus	850
