dataset	num_probes
european_bat_2_lyssavirus	825
everglades	188
eyach	845
feline_morbillivirus	1659
flexal_mammarenavirus	176
foot-and-mouth_disease	8292
fugong_orthohantavirus	194
fusong_orthohantavirus	88
gadgets_gully	159
gairo_mammarenavirus	196
gamboa_orthobunyavirus	397
gammapapillomavirus_18	464
gammapapillomavirus_24	820
gammapapillomavirus_27	122
gemycircularvirus_hv-gcv1	35
getah	619
giant_panda_anellovirus	674
giessen_reptarenavirus	222
golden_reptarenavirus	174
goose_paramyxovirus_sf02	246
gorilla_anellovirus	40
great_island	1595
guajara_orthobunyavirus	195
guama_orthobunyavirus	328
guanarito_mammarenavirus	1917
guaroa_orthobunyavirus	803
gyrovirus_4	70
gyrovirus_gyv3	90
gyrovirus_gyv7-sf	41
gyrovirus_tu243	32
gyrovirus_tu789	39
hanko	164
hantaan_orthohantavirus	2809
hantavirus_z10	194
hazara_orthonairovirus	307
heartland	316
hendra_henipavirus	340
hepacivirus_a	153
hepacivirus_b	148
hepacivirus_c	62841
hepacivirus_d	329
hepacivirus_f	154
hepacivirus_i	139
hepacivirus_j	158
hepacivirus_k	156
hepacivirus_l	141
hepacivirus_m	145
hepacivirus_n	384
hepatitis_b	4925
hepatitis_delta	4289
hepatovirus_a	2187
highlands_j	281
hughes_orthonairovirus	1373
human_alphaherpesvirus_1	3410
human_alphaherpesvirus_2	7657
human_alphaherpesvirus_3	2134
human_associated_circovirus_1	29
human_associated_cyclovirus_1	28
human_associated_cyclovirus_10	28
human_associated_cyclovirus_11	28
human_associated_cyclovirus_12	27
human_associated_cyclovirus_2	28
human_associated_cyclovirus_3	29
human_associated_cyclovirus_4	29
human_associated_cyclovirus_5	30
human_associated_cyclovirus_6	30
human_associated_cyclovirus_7	30
human_associated_cyclovirus_8	323
human_associated_cyclovirus_9	31
human_associated_gemykibivirus_1	35
human_associated_gemykibivirus_2	50
human_associated_gemykibivirus_5	36
human_associated_gemyvongvirus_1	75
human_betaherpesvirus_5	10657
human_betaherpesvirus_6a	2521
human_betaherpesvirus_6b	2566
human_betaherpesvirus_7	2290
human_coronavirus_229e	3146
human_coronavirus_hku1	774
human_coronavirus_nl63	733
human_endogenous_retrovirus_k	151
human_fecal_virus_jorvi2	62
human_fecal_virus_jorvi3	30
human_fecal_virus_jorvi4	36
human_gammaherpesvirus_4	7924
human_gammaherpesvirus_8	3893
human_immunodeficiency_virus_1	40292
human_immunodeficiency_virus_2	4396
human_mastadenovirus_a	2304
human_mastadenovirus_b	2709
human_mastadenovirus_c	2704
human_mastadenovirus_d	3053
human_mastadenovirus_e	2573
human_mastadenovirus_f	1164
human_mastadenovirus_g	1658
human_metapneumovirus	1481
human_orthopneumovirus	2272
human_papillomavirus	1311
human_papillomavirus_type_85	128
human_picobirnavirus	69
human_polyomavirus_1	329
human_polyomavirus_2	399
human_polyomavirus_3	91
human_polyomavirus_4	162
human_polyomavirus_5	230
human_respirovirus_1	772
human_respirovirus_3	1492
human_rubulavirus_2	729
human_rubulavirus_4	1462
human_smacovirus_1	276
ikoma_lyssavirus	193
ilheus	324
imjin_orthohantavirus	877
indiana_vesiculovirus	787
influenza_a_segment1	1863
influenza_a_segment2	1939
influenza_a_segment3	2250
influenza_a_segment4	2697
influenza_a_segment5	1199
influenza_a_segment6	1788
influenza_a_segment7	1225
influenza_a_segment8	760
influenza_b_segment1	957
influenza_b_segment2	955
influenza_b_segment3	796
influenza_b_segment4	1110
influenza_b_segment5	598
influenza_b_segment6	834
influenza_b_segment7	435
influenza_b_segment8	493
influenza_c_segment1	205
influenza_c_segment2	199
influenza_c_segment3	224
influenza_c_segment4	131
influenza_c_segment5	181
influenza_c_segment6	77
influenza_c_segment7	81
ippy_mammarenavirus	169
irkut_lyssavirus	377
isfahan_vesiculovirus	178
j-virus	302
japanese_encephalitis	2037
jeju_orthohantavirus	247
jugra	165
kabuto_mountain	187
kadam	164
kadipiro	850
kaeng_khoi_orthobunyavirus	367
kairi_orthobunyavirus	459
kamiti_river	183
kasokero_orthonairovirus	303
kedougou	190
kenkeme_orthohantavirus	216
keterah_orthonairovirus	310
khabarovsk_orthohantavirus	273
khujand_lyssavirus	191
kokobera	710
koongol_orthobunyavirus	180
kyasanur_forest_disease	362
lagos_bat_lyssavirus	680
laguna_negra_orthohantavirus	89
laibin_orthohantavirus	247
langat	174
lassa_mammarenavirus	5842
latino_mammarenavirus	237
le_dantec_ledantevirus	181
lebombo	316
leopards_hill	342
liao_ning	1319
lleida_bat_lyssavirus	190
lloviu_cuevavirus	308
loei_river_mammarenavirus	381
louping_ill	426
lujo_mammarenavirus	191
luna_mammarenavirus	857
lunk_mammarenavirus	168
luxi_orthohantavirus	195
lymphocytic_choriomeningitis_mammarenavirus	3590
lyssavirus_ozernoe	196
macaca_mulatta_polyomavirus_1	180
macaque_simian_foamy	513
machupo_mammarenavirus	1489
madrid_orthobunyavirus	386
main_drain_orthobunyavirus	248
mamastrovirus_1	2134
mamastrovirus_6	356
mamastrovirus_8	101
mamastrovirus_9	263
mammalian_orthoreovirus	5736
mammalian_rubulavirus_5	673
manzanilla_orthobunyavirus	822
maporal_orthohantavirus	187
mapuera_rubulavirus	249
maraba_vesiculovirus	179
marburg_marburgvirus	2302
marituba_orthobunyavirus	721
mayaro	580
meaban	165
measles_morbillivirus	1411
menangle_rubulavirus	455
mercadeo	226
middle_east_respiratory_syndrome-related_coronavirus	2693
mobala_mammarenavirus	177
modoc	174
mojiang_henipavirus	291
mokola_lyssavirus	1152
molluscum_contagiosum	3991
monkeypox	3031
montana_myotis_leukoencephalitis	167
montano_orthohantavirus	196
mopeia_lassa_virus_reassortant_29	239
mopeia_mammarenavirus	368
morogoro_mammarenavirus	180
mossman	260
mosso_das_pedras	186
mucambo	182
mumps_rubulavirus	1504
mupapillomavirus_1	137
murine_respirovirus	1180
murray_valley_encephalitis	1007
nairobi_sheep_disease_orthonairovirus	1314
nariva	251
ndumu	185
nelson_bay_orthoreovirus	787
new_jersey_vesiculovirus	1466
nipah_henipavirus	610
norwalk	8938
norway_rat_hepacivirus_1	285
norway_rat_hepacivirus_2	162
nounane	295
nova_orthohantavirus	1978
ntaya	193
nyando_orthobunyavirus	198
ochlerotatus_caspius_flavivirus	164
oliveros_mammarenavirus	225
omsk_hemorrhagic_fever	414
onyong-nyong	291
ordinary_reptarenavirus	231
orf	3070
oriboca_orthobunyavirus	405
oropouche_orthobunyavirus	1621
orthohepevirus_a	10312
orthohepevirus_b	679
orthohepevirus_c	864
orthohepevirus_d	232
orungo	310
palm_creek	159
paraguayan_mammarenavirus	188
paraiso_escondido	169
parechovirus_a	5512
parechovirus_b	869
parramatta_river	176
patois_orthobunyavirus	205
pegivirus_a	3335
pegivirus_c	5768
pegivirus_h	1851
phnom_penh_bat	173
phocine_morbillivirus	257
pirital_mammarenavirus	528
piry_vesiculovirus	174
piscihepevirus_a	116
pixuna	182
porcine_respirovirus_1	839
porcine_rubulavirus	284
powassan	837
primate_erythroparvovirus_1	439
primate_t-lymphotropic_virus_1	1081
primate_t-lymphotropic_virus_2	723
primate_t-lymphotropic_virus_3	910
prospect_hill_orthohantavirus	203
punta_toro_phlebovirus	1647
puumala_orthohantavirus	2918
qalyub_orthonairovirus	509
quang_binh	557
quezon_orthohantavirus	194
rabies_lyssavirus	6736
razdan	183
reptilian_ferlavirus	745
respiratory_syncytial	1675
reston_ebolavirus	675
rhinovirus_a	8840
rhinovirus_b	5275
rhinovirus_c	4628
rift_valley_fever_phlebovirus	962
rinderpest_morbillivirus	897
rio_bravo	191
rio_negro	185
rockport_orthohantavirus	249
rodent_hepacivirus	439
rodent_torque_teno_virus_2	109
rosavirus_a	143
ross_river	442
rotavirus_a	20316
rotavirus_b	3823
rotavirus_c	11104
rotavirus_f	407
rotavirus_g	965
rotavirus_h	1191
rotavirus_i	783
royal_farm	527
rubella	1531
ryukyu_mammarenavirus	170
saboya	163
saint_louis_encephalitis	1145
sakhalin_orthonairovirus	819
salehabad_phlebovirus	391
salem	269
salivirus_a	696
salmon_aquaparamyxovirus	270
sandfly_fever_naples_phlebovirus	2871
sandfly_fever_sicilian	458
sangassou_orthohantavirus	198
sapporo	8053
sathuperi_orthobunyavirus	895
saumarez_reef	167
seal_anellovirus_2	36
seal_anellovirus_3	91
seal_anellovirus_tffn--usa--2006	35
semliki_forest	301
seoul_orthohantavirus	1122
sepik	191
serra_do_navio_mammarenavirus	291
severe_acute_respiratory_syndrome-related_coronavirus	3286
sewage_derived_gemygorvirus_1	36
sfts_phlebovirus	1343
shamonda_orthobunyavirus	738
shimoni_bat_lyssavirus	197
shuni_orthobunyavirus	1008
simbu_orthobunyavirus	212
simian_foamy	1411
simian_immunodeficiency	9617
simian_rubulavirus	249
simian_torque_teno_virus_30	59
simian_torque_teno_virus_31	59
simian_torque_teno_virus_32	60
simian_torque_teno_virus_33	60
simian_torque_teno_virus_34	58
sin_nombre_orthohantavirus	997
sindbis	1556
small_anellovirus	42
small_ruminant_morbillivirus	1428
solwezi_mammarenavirus	172
sosuga_rubulavirus	243
souris_mammarenavirus	172
spanish_goat_encephalitis	182
spondweni	187
sudan_ebolavirus	560
tacaiuma_orthobunyavirus	398
tacaribe_mammarenavirus	253
tai_forest_ebolavirus	339
tailam	311
tamana_bat	180
tamiami_mammarenavirus	244
tanapox	2578
tapara	202
tembusu	1492
tete_orthobunyavirus	421
thailand_orthohantavirus	283
thiafora_orthonairovirus	578
tho	177
thogoto_thogotovirus	397
thottapalayam_orthohantavirus	893
tick-borne_encephalitis	2379
tioman_rubulavirus	253
tofla	353
tonate	187
toros	210
torque_teno	3289
torque_teno_canis	165
torque_teno_douroucouli	61
torque_teno_felis	155
torque_teno_felis_virus_2	34
torque_teno_indri_virus_1	43
torque_teno_leptonychotes_weddellii_virus-1	2603
torque_teno_leptonychotes_weddellii_virus-2	318
torque_teno_midi_virus_1	99
torque_teno_midi_virus_10	52
torque_teno_midi_virus_11	52
torque_teno_midi_virus_12	51
torque_teno_midi_virus_13	48
torque_teno_midi_virus_14	50
torque_teno_midi_virus_15	53
torque_teno_midi_virus_2	54
torque_teno_midi_virus_3	31
torque_teno_midi_virus_4	42
torque_teno_midi_virus_5	51
torque_teno_midi_virus_6	51
torque_teno_midi_virus_7	51
torque_teno_midi_virus_8	51
torque_teno_midi_virus_9	52
torque_teno_mini_virus_1	46
torque_teno_mini_virus_10	47
torque_teno_mini_virus_11	43
torque_teno_mini_virus_12	49
torque_teno_mini_virus_18	43
torque_teno_mini_virus_2	65
torque_teno_mini_virus_3	49
torque_teno_mini_virus_4	45
torque_teno_mini_virus_5	46
torque_teno_mini_virus_6	47
torque_teno_mini_virus_7	54
torque_teno_mini_virus_8	45
torque_teno_mini_virus_9	60
torque_teno_mini_virus_ala22	49
torque_teno_mini_virus_alh8	48
torque_teno_sus_virus_1a	919
torque_teno_sus_virus_1b	1246
torque_teno_sus_virus_k2a	396
torque_teno_sus_virus_k2b	155
torque_teno_tamarin	52
torque_teno_tupaia	37
torque_teno_virus_1	72
torque_teno_virus_10	120
torque_teno_virus_11	54
torque_teno_virus_12	64
torque_teno_virus_13	54
torque_teno_virus_14	62
torque_teno_virus_15	64
torque_teno_virus_16	64
torque_teno_virus_19	101
torque_teno_virus_2	54
torque_teno_virus_20	53
torque_teno_virus_21	52
torque_teno_virus_23	56
torque_teno_virus_24	51
torque_teno_virus_25	60
torque_teno_virus_26	62
torque_teno_virus_27	62
torque_teno_virus_28	62
torque_teno_virus_29	96
torque_teno_virus_3	59
torque_teno_virus_4	59
torque_teno_virus_5	53
torque_teno_virus_6	61
torque_teno_virus_7	59
torque_teno_virus_8	65
torque_teno_virus_9	49
torque_teno_zalophus_virus_1	34
ttv-like_mini	586
tuhoko_rubulavirus_1	257
tuhoko_rubulavirus_2	255
tuhoko_rubulavirus_3	250
tula_orthohantavirus	561
tupaia_paramyxovirus	291
uganda_s	161
uriurana	248
urucuri	210
usutu	847
uukuniemi_phlebovirus	1953
vaccinia	5166
variola	3236
venezuelan_equine_encephalitis	1930
vesicular_exanthema_of_swine	790
wesselsbron	343
west_caucasian_bat_lyssavirus	197
west_nile	2691
western_equine_encephalitis	833
whataroa	182
whitewater_arroyo_mammarenavirus	812
wyeomyia_orthobunyavirus	679
yaba_monkey_tumor	2176
yakeshi_orthohantavirus	92
yaounde	161
yellow_fever	1947
yogue	296
yokose	174
yug_bogdanovac_vesiculovirus	175
zaire_ebolavirus	2709
zerdali	202
zika	2566
zygosaccharomyces_bailii_virus_z	63
